Accuracy: 0.40222816281917906

n_chords: 1
n_melody: 1
t_prior: 0.0
e_prior: 22.5
dataset: All
keys: minor
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1 -1]	[-1 -1]
[13 -1]	[-1 -1]
[13 73]	[13 68]
[13 75]	[13 73]
[13 76]	[13 73]
[13 75]	[13 73]
[13 76]	[13 75]
[13 76]	[20 76]
[13 78]	[20 75]
[13 80]	[20 75]
[13 78]	[20 80]
[13 76]	[20 80]
[13 75]	[20 80]
[13 76]	[13 78]
[13 75]	[13 76]
[13 73]	[13 75]
[ 8 76]	[13 73]
[ 8 78]	[13 73]
[ 8 76]	[13 75]
[ 8 75]	[20 76]
[ 8 68]	[20 75]
[ 8 69]	[20 75]
[ 8 68]	[20 68]
[ 8 68]	[20 68]
[13 68]	[20 68]
[13 73]	[13 68]
[13 75]	[13 73]
[13 76]	[13 73]
[13 75]	[13 73]
[13 76]	[13 75]
[13 76]	[20 76]
[13 78]	[20 75]
[13 80]	[20 75]
[13 80]	[20 80]
[13 78]	[20 80]
[13 76]	[13 78]
[13 75]	[13 76]
[13 76]	[13 75]
[13 75]	[ 8 73]
[13 73]	[ 8 75]
[13 73]	[ 8 73]
[13 73]	[13 72]
[13 73]	[13 73]
[13 73]	[13 73]
[13 73]	[13 73]
[13 73]	[ 5 75]
[13 75]	[ 5 75]
[13 76]	[ 5 75]
[13 78]	[ 5 76]
[13 80]	[ 5 78]
[13 80]	[12 76]
[13 85]	[12 78]
[13 85]	[12 78]
[13 85]	[12 83]
[13 83]	[12 83]
[13 81]	[13 84]
[13 80]	[13 85]
[13 78]	[13 80]
[13 76]	[13 78]
[13 75]	[13 76]
[13 73]	[13 75]
[13 80]	[ 8 73]
[13 78]	[ 8 72]
[13 76]	[ 8 80]
[13 75]	[ 8 80]
[ 8 73]	[13 80]
[ 8 75]	[13 73]
[ 8 76]	[13 72]
[ 8 75]	[ 8 73]
[ 8 76]	[ 8 75]
[ 8 78]	[ 8 73]
[ 8 78]	[13 75]
[ 8 80]	[13 76]
[ 8 80]	[13 76]
[ 8 81]	[13 78]
[ 8 80]	[18 80]
[ 8 81]	[18 80]
[ 8 80]	[13 81]
[ 8 78]	[13 80]
[ 8 76]	[13 78]
[ 8 75]	[ 8 76]
[ 8 73]	[ 8 75]
[13 72]	[ 8 73]
[13 73]	[13 72]
[-1 -1]	[13 73]
[13 -1]	[13 73]
[13 73]	[13 85]
[13 73]	[13 80]
[13 75]	[13 78]
[13 76]	[ 8 76]
[13 76]	[ 8 76]
[13 75]	[ 8 75]
[13 76]	[ 8 75]
[13 78]	[ 8 76]
[13 76]	[ 8 78]
[13 75]	[ 8 80]
[13 73]	[ 8 78]
[13 73]	[ 8 76]
[13 73]	[13 75]
[13 75]	[13 75]
[13 76]	[13 73]
[13 78]	[13 73]
[13 80]	[13 76]
[13 78]	[13 80]
[13 76]	[13 85]
[13 75]	[13 80]
[13 73]	[13 78]
[13 73]	[ 8 76]
[13 73]	[ 8 76]
[13 75]	[ 8 75]
[13 76]	[ 8 75]
[13 78]	[ 8 76]
[13 76]	[ 8 78]
[13 75]	[ 8 80]
[13 76]	[ 8 78]
[13 75]	[ 8 76]
[13 73]	[13 75]
[13 73]	[13 73]
[13 75]	[13  0]
[13 76]	[ 3 80]
[13 75]	[ 3 73]
[13 76]	[ 3 75]
[13 78]	[ 3 76]
[13 80]	[ 3 78]
[13 85]	[ 3 80]
[13 85]	[ 8 85]
[13 85]	[ 8 85]
[13 87]	[ 8 84]
[13 88]	[ 8 83]
[13 85]	[ 8 85]
[13 83]	[ 8 87]
[13 85]	[ 8 80]
[13 87]	[ 8 82]
[13 88]	[ 8 84]
[13 87]	[ 8 85]
[13 88]	[ 8 87]
[13 87]	[13 88]
[13 85]	[13 87]
[13 85]	[13 85]
[13 80]	[13 85]
[13 73]	[13 84]
[13 73]	[13 85]
[13 75]	[13 73]
[13 76]	[13 75]
[13 78]	[13 76]
[13 80]	[13 78]
[13 85]	[13 80]
[13 85]	[ 8 85]
[13 85]	[ 8 85]
[13 87]	[ 8 84]
[13 88]	[ 8 83]
[13 85]	[ 8 85]
[13 85]	[ 8 87]
[13 83]	[ 8 80]
[13 85]	[ 8 80]
[13 85]	[ 8 82]
[13  0]	[13 84]
[13 73]	[13 85]
[13 73]	[5 0]
[13 75]	[ 5 73]
[13 76]	[ 5 72]
[13 75]	[ 5 73]
[13 76]	[ 1 75]
[13 75]	[ 1 76]
[18 76]	[ 1 75]
[18 78]	[ 1 76]
[18 78]	[18 77]
[18 80]	[18 78]
[18 81]	[18 77]
[18 80]	[18 78]
[18 81]	[18 80]
[18 80]	[18 81]
[18 81]	[18 80]
[ 8 78]	[18 78]
[ 8 76]	[ 8 81]
[ 8 75]	[ 8 80]
[ 8 76]	[ 8 68]
[ 8 78]	[ 8 72]
[ 8 80]	[ 8 75]
[ 8 78]	[ 8 80]
[ 8 76]	[ 8 78]
[ 8 75]	[ 8 76]
[ 8 73]	[ 8 75]
[ 8 75]	[13 73]
[ 8 76]	[13 72]
[ 8 78]	[13 73]
[ 8 76]	[13 75]
[13 75]	[13 76]
[13 73]	[13 75]
[13 75]	[13 73]
[13 76]	[13 68]
[13 75]	[13 73]
[13 76]	[13 80]
[13 78]	[13 73]
[13 80]	[13 73]
[13 78]	[ 6 76]
[13 76]	[ 6 80]
[13 75]	[ 6 80]
[13 76]	[ 6 76]
[13 78]	[ 6 73]
[13 80]	[ 6 73]
[13 78]	[ 6 76]
[13 76]	[ 6 80]
[13 75]	[ 6 80]
[13 76]	[ 6 76]
[13 78]	[ 6 73]
[13 80]	[ 6 73]
[13 81]	[ 6 76]
[18 80]	[ 6 80]
[18 81]	[ 6 80]
[18 80]	[ 6 81]
[18 81]	[ 8 80]
[18 80]	[ 8 78]
[ 8 78]	[ 8 80]
[ 8 76]	[ 8 78]
[ 8 76]	[ 8 76]
[ 8 78]	[ 8 75]
[ 8 80]	[ 8 75]
[ 8 80]	[ 8 76]
[ 8 78]	[ 8 78]
[ 8 76]	[ 8 78]
[ 8 76]	[ 8 76]
[ 8 78]	[ 8 75]
[ 8 80]	[ 8 75]
[ 8 80]	[ 8 76]
[ 8 78]	[ 8 78]
[ 8 76]	[ 8 78]
[ 8 76]	[ 8 76]
[ 8 78]	[ 8 75]
[ 8 80]	[ 8 75]
[ 8 80]	[ 8 76]
[ 8 81]	[ 8 78]
[ 8 80]	[ 8 78]
[ 8 78]	[ 8 80]
[ 8 80]	[13 78]
[ 8 78]	[13 76]
[ 8 76]	[13 78]
[13 75]	[13 76]
[13 73]	[13 75]
[13 75]	[13 73]
[13 76]	[13 73]
[13 78]	[13 76]
[13 80]	[13 76]
[13 78]	[13 80]
[13 76]	[13 80]
[13 75]	[13 76]
[13 76]	[13 73]
[13 78]	[13 73]
[13 80]	[13 76]
[13 78]	[13 80]
[13 76]	[13 80]
[13 75]	[13 76]
[13 76]	[13 73]
[13 78]	[13 73]
[13 80]	[13 76]
[13 85]	[13 80]
[13 85]	[ 1 80]
[18 83]	[ 1 85]
[18 81]	[18 83]
[18 80]	[18 81]
[18 81]	[18 83]
[18 80]	[18 81]
[18 81]	[18 80]
[18 80]	[18 78]
[18 81]	[18 80]
[18 81]	[18 81]
[18 80]	[18 81]
[18 78]	[18 80]
[18 76]	[13 78]
[ 8 78]	[13 76]
[ 8 76]	[13 78]
[13 75]	[13 76]
[13 73]	[13 75]
[13 75]	[13 73]
[13 76]	[13 73]
[13 75]	[ 8 76]
[13 76]	[ 8 75]
[13 75]	[ 8 76]
[13 73]	[ 8 75]
[13 73]	[ 8 73]
[13 73]	[ 8 72]
[-1 -1]	[13 75]
[13 -1]	[-1 73]
[13 73]	[-1 73]
[13 76]	[-1 85]
[13 76]	[-1 80]
[13 75]	[-1 78]
[13 73]	[-1 78]
[13 73]	[-1 76]
[13 80]	[-1 75]
[13 78]	[-1 73]
[13 80]	[-1 85]
[13 80]	[-1 80]
[13 78]	[-1 78]
[13 80]	[-1 78]
[13 85]	[-1 76]
[13 87]	[ 5 73]
[13 88]	[ 5 83]
[13 87]	[ 5 85]
[13 85]	[ 5 86]
[13 87]	[ 5 85]
[13 88]	[ 5 83]
[13 87]	[ 5 85]
[13 85]	[ 5 86]
[13 83]	[ 5 85]
[13 81]	[ 5 83]
[13 80]	[ 5 81]
[13 78]	[ 5 80]
[13 80]	[ 8 78]
[13 80]	[ 8 76]
[13 78]	[ 8 78]
[13 76]	[ 8 80]
[13 75]	[ 8 76]
[13 73]	[ 8 78]
[13 73]	[ 8 76]
[13 85]	[13 75]
[13 87]	[13 73]
[13 85]	[13 85]
[13 85]	[13 85]
[13 87]	[13 80]
[13 85]	[13 85]
[13 87]	[13 85]
[13 85]	[13 80]
[13 87]	[13 85]
[13 85]	[13 80]
[13 87]	[13 85]
[13 85]	[13 80]
[13 87]	[13 85]
[13 88]	[13 80]
[13 87]	[13 85]
[13 88]	[13 88]
[13 87]	[13 88]
[13 88]	[13 87]
[13 87]	[13 85]
[13 88]	[13 88]
[13 87]	[13 88]
[13 88]	[13 87]
[13 88]	[13 85]
[13 87]	[13 92]
[13 88]	[13 90]
[13 87]	[13 88]
[13 88]	[13 87]
[13 87]	[13 88]
[13 88]	[13 90]
[13 87]	[13 88]
[13 88]	[13 87]
[13 87]	[13 85]
[13 88]	[13 88]
[13 87]	[13 88]
[13 85]	[13 87]
[13 87]	[18 85]
[13 88]	[18 84]
[13 87]	[18 85]
[13 85]	[18 87]
[13 83]	[18 85]
[13 81]	[18 83]
[13 80]	[ 8 81]
[13 78]	[ 8 80]
[13 80]	[ 8 79]
[13 78]	[ 8 80]
[13 76]	[ 8 81]
[13 75]	[ 8 80]
[13 76]	[ 8 78]
[13 75]	[ 8 76]
[13 76]	[13 75]
[13 75]	[13 73]
[13 76]	[13 75]
[13 78]	[13 76]
[13 80]	[13 78]
[13 85]	[13 80]
[13 80]	[13 81]
[13 78]	[13 84]
[13 80]	[13 73]
[13 78]	[13 76]
[13 80]	[13 78]
[13 78]	[13 80]
[13 80]	[13 76]
[13 78]	[10 76]
[13 80]	[10 81]
[13 85]	[10 80]
[13 87]	[10 81]
[13 85]	[ 5 85]
[13 85]	[ 5 85]
[13 87]	[ 5 83]
[13 88]	[ 5 83]
[13 87]	[ 5 85]
[13 85]	[ 5 86]
[13 87]	[ 5 85]
[13 88]	[ 5 83]
[13 87]	[ 5 85]
[18 85]	[ 5 86]
[18 83]	[ 5 85]
[18 81]	[ 5 83]
[18 80]	[ 5 81]
[18 78]	[ 5 80]
[18 78]	[ 5 78]
[18 76]	[ 8 76]
[18 78]	[ 8 76]
[18 78]	[ 8 78]
[18 76]	[ 8 80]
[ 8 78]	[ 8 76]
[ 8 76]	[ 8 78]
[13 75]	[ 8 76]
[13 76]	[13 75]
[13 75]	[13 73]
[13 76]	[13 75]
[13 78]	[13 76]
[13 80]	[13 78]
[13 80]	[13 80]
[13 80]	[13 81]
[13 85]	[13 85]
[13 87]	[13 73]
[13 85]	[13 85]
[13 83]	[13 85]
[13 85]	[13 83]
[13 87]	[13 82]
[13 85]	[13 83]
[13 87]	[13 85]
[13 85]	[13 80]
[13 87]	[13 85]
[13 85]	[13 80]
[13 87]	[13 85]
[13 88]	[13 80]
[13 87]	[13 88]
[13 85]	[13 87]
[13 85]	[13 85]
[13 85]	[13 85]
[13 85]	[5 0]
[13 87]	[ 5 83]
[13 85]	[ 5 85]
[13 85]	[ 5 85]
[13 85]	[ 5 83]
[13 87]	[ 5 83]
[13 85]	[ 5 85]
[13 87]	[ 5 85]
[13 88]	[ 5 83]
[13 87]	[ 5 88]
[18 85]	[ 5 87]
[18 83]	[ 5 85]
[18 81]	[ 5 83]
[18 80]	[ 5 81]
[18 78]	[ 5 80]
[18 78]	[ 5 78]
[18 78]	[ 8 76]
[18 76]	[ 8 76]
[ 8 78]	[ 8 78]
[ 8 78]	[ 8 78]
[ 8 76]	[ 8 76]
[ 8 76]	[ 8 76]
[13 75]	[ 8 75]
[13 73]	[ 8 75]
[13 88]	[13 73]
[13 87]	[13 73]
[13 88]	[13 90]
[13 92]	[13 85]
[13 92]	[13 85]
[13 88]	[13 90]
[13 87]	[13 90]
[13 88]	[13 88]
[13 87]	[13 88]
[13 85]	[ 5 87]
[13 85]	[ 5 88]
[13 85]	[ 5 83]
[13 87]	[ 5 83]
[13 88]	[ 5 88]
[13 88]	[ 5 88]
[13 87]	[ 5 87]
[13 88]	[ 5 87]
[13 88]	[12 85]
[13 87]	[12 85]
[13 88]	[12 87]
[13 87]	[12 88]
[13 88]	[12 90]
[13 87]	[12 88]
[13 88]	[12 87]
[13 87]	[12 85]
[13 88]	[ 5 87]
[13 87]	[18 88]
[13 88]	[18 90]
[13 92]	[18 85]
[13 92]	[18 85]
[13 88]	[18 90]
[13 87]	[18 90]
[13 88]	[18 88]
[13 87]	[18 88]
[13 85]	[ 5 87]
[13 85]	[ 5 88]
[13 85]	[ 5 83]
[13 87]	[ 5 83]
[13 88]	[ 5 88]
[13 88]	[ 5 88]
[13 87]	[ 5 87]
[13 88]	[ 5 87]
[13 88]	[ 8 85]
[13 87]	[ 8 85]
[13 88]	[ 8 87]
[13 87]	[ 8 88]
[13 88]	[ 8 90]
[13 88]	[ 8 88]
[13 87]	[ 8 87]
[13 88]	[ 8 87]
[13 87]	[13 85]
[13 85]	[13 85]
[13 80]	[13 85]
[13 80]	[13 85]
[13 78]	[13 80]
[13 80]	[13 79]
[13 80]	[13 80]
[13 78]	[13 85]
[13 80]	[13 85]
[13 78]	[13 80]
[13 80]	[13 79]
[13 78]	[13 80]
[13 80]	[13 85]
[13 78]	[13 80]
[13 80]	[13 79]
[13 78]	[13 80]
