Accuracy: 0.4117730759303503

n_chords: 2
n_melody: 0
t_prior: 20.0
e_prior: 75.0
dataset: All
keys: All
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1 -1]	[-1 -1]
[-1 -1]	[-1  1]
[-1 -1]	[ 1 13]
[-1 -1]	[13 13]
[-1 -1]	[13  6]
[-1 -1]	[6 8]
[-1 -1]	[ 8 22]
[-1 -1]	[22  1]
[-1 -1]	[1 8]
[-1 -1]	[ 8 15]
[-1 -1]	[15 15]
[-1 -1]	[15  1]
[-1 -1]	[1 8]
[-1 -1]	[8 8]
[-1 -1]	[8 1]
[-1 -1]	[1 6]
[-1 -1]	[6 1]
[-1 -1]	[ 1 20]
[-1 -1]	[20  1]
[-1 -1]	[1 1]
[-1 -1]	[ 1 13]
[-1 -1]	[13 13]
[-1 -1]	[13  6]
[-1 -1]	[6 8]
[-1 -1]	[ 8 22]
[-1 -1]	[22  1]
[-1 -1]	[1 8]
[-1 -1]	[ 8 15]
[-1 -1]	[15 15]
[-1 -1]	[15  1]
[-1 -1]	[1 8]
[-1 -1]	[8 8]
[-1 -1]	[8 1]
[-1 -1]	[1 6]
[-1 -1]	[6 1]
[-1 -1]	[ 1 20]
[-1 -1]	[20  1]
[-1 -1]	[ 1 10]
[-1 -1]	[10  3]
[-1 -1]	[3 5]
[-1 -1]	[5 6]
[-1 -1]	[6 6]
[-1 -1]	[ 6 22]
[-1 -1]	[22  5]
[-1 -1]	[ 5 22]
[-1 -1]	[22 24]
[-1 -1]	[24  1]
[-1 -1]	[ 1 13]
[-1 -1]	[13  1]
[-1 -1]	[ 1 15]
[-1 -1]	[15  8]
[-1 -1]	[8 1]
[-1  1]	[1 1]
[1 1]	[1 6]
[1 1]	[6 1]
[1 1]	[1 8]
[1 1]	[ 8 22]
[1 1]	[22  6]
[1 1]	[6 1]
[1 1]	[1 6]
[1 1]	[ 6 22]
[1 1]	[22 22]
[1 1]	[22 17]
[1 1]	[17  6]
[1 1]	[6 8]
[1 1]	[8 8]
[1 1]	[8 1]
[1 1]	[1 8]
[1 1]	[8 1]
[1 1]	[1 1]
[1 1]	[ 1 24]
[1 1]	[24  1]
[1 1]	[1 1]
[1 1]	[1 1]
[1 1]	[1 8]
[1 1]	[8 1]
[1 1]	[1 1]
[1 1]	[1 3]
[1 1]	[3 8]
[1 1]	[8 8]
[1 1]	[8 8]
[1 1]	[8 3]
[1 1]	[3 8]
[1 1]	[8 1]
[1 1]	[ 1 15]
[1 1]	[15 15]
[1 1]	[15 15]
[1 1]	[15 22]
[1 1]	[22 22]
[1 1]	[22  1]
[1 1]	[1 8]
[1 1]	[8 1]
[1 1]	[1 1]
[1 1]	[1 6]
[-1 -1]	[6 1]
[-1 -1]	[1 1]
[-1 -1]	[1 6]
[-1 -1]	[ 6 24]
[-1 -1]	[24  1]
[-1 -1]	[1 8]
[-1 -1]	[8 6]
[-1 -1]	[6 8]
[-1 -1]	[8 1]
[-1 -1]	[1 1]
[-1 -1]	[1 6]
[-1 -1]	[6 1]
[-1 -1]	[ 1 15]
[-1 -1]	[15  8]
[-1 -1]	[8 1]
[-1 -1]	[1 8]
[-1 -1]	[8 8]
[-1 -1]	[8 8]
[-1 -1]	[8 1]
[-1 -1]	[1 8]
[-1 -1]	[ 8 22]
[-1 -1]	[22 24]
[-1 -1]	[24  5]
[-1 -1]	[5 5]
[-1 -1]	[ 5 22]
[-1 -1]	[22  8]
[-1 -1]	[8 1]
[-1 -1]	[1 8]
[-1 -1]	[8 8]
[-1 -1]	[8 6]
[-1 -1]	[6 1]
[-1 -1]	[1 8]
[-1 -1]	[8 1]
[-1 -1]	[ 1 -1]
[-1 -1]	[-1  1]
[-1 -1]	[1 1]
[-1 -1]	[1 1]
[-1 -1]	[1 1]
[-1 -1]	[1 6]
[-1  1]	[6 6]
[1 1]	[6 8]
[1 1]	[8 8]
[1 1]	[8 1]
[1 1]	[1 1]
[1 1]	[ 1 10]
[1 1]	[10 10]
[1 8]	[10 15]
[8 8]	[15  8]
[8 8]	[8 8]
[8 8]	[8 1]
[8 8]	[1 1]
[8 8]	[1 1]
[8 8]	[1 1]
[8 8]	[1 6]
[8 1]	[6 6]
[1 1]	[6 6]
[1 1]	[6 6]
[1 1]	[6 6]
[1 1]	[6 1]
[1 1]	[1 1]
[1 1]	[1 8]
[1 1]	[8 8]
[1 1]	[8 1]
[1 1]	[1 1]
[1 1]	[1 1]
[1 1]	[1 1]
[1 1]	[1 1]
[1 1]	[1 1]
[1 1]	[1 1]
[1 1]	[1 6]
[1 1]	[6 6]
[1 1]	[ 6 15]
[1 1]	[15 15]
[1 1]	[15 15]
[1 8]	[15 15]
[8 8]	[15  8]
[8 8]	[8 8]
[8 8]	[8 8]
[8 8]	[8 8]
[8 8]	[8 8]
[8 8]	[8 8]
[8 8]	[8 1]
[8 8]	[1 1]
[8 8]	[1 1]
[8 8]	[1 1]
[8 8]	[1 6]
[8 1]	[6 6]
[1 1]	[6 8]
[1 1]	[8 8]
[1 1]	[8 1]
[1 1]	[1 1]
[1 1]	[ 1 10]
[1 1]	[10 10]
[1 1]	[10 15]
[1 1]	[15  8]
[1 1]	[8 8]
[1 1]	[8 1]
[1 1]	[1 1]
[1 1]	[1 1]
[1 1]	[1 1]
[1 1]	[1 6]
[1 1]	[6 6]
[1 1]	[ 6 15]
[1 8]	[15 15]
[8 8]	[15 15]
[8 8]	[15 15]
[8 8]	[15  8]
[8 1]	[8 8]
[1 1]	[8 1]
[-1 -1]	[1 1]
[-1 -1]	[1 1]
