Accuracy: 0.3488286342626124

n_chords: 1
n_melody: 1
t_prior: 15.0
e_prior: 22.5
dataset: All
keys: minor
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1 -1]	[-1 -1]
[13 75]	[-1 -1]
[13 73]	[13 68]
[13 75]	[13 73]
[13 76]	[13 73]
[13 75]	[13 73]
[13 76]	[13 75]
[13 76]	[20 76]
[13 78]	[20 75]
[13 80]	[20 75]
[13 78]	[20 80]
[13 76]	[20 80]
[13 75]	[20 80]
[13 73]	[13 78]
[13 73]	[13 76]
[13 75]	[13 75]
[13 76]	[13 73]
[13 75]	[13 73]
[13 73]	[13 75]
[13 73]	[20 76]
[13 73]	[20 75]
[13 73]	[20 75]
[13 73]	[20 68]
[13 73]	[20 68]
[13 73]	[20 68]
[13 73]	[13 68]
[13 75]	[13 73]
[13 76]	[13 73]
[13 75]	[13 73]
[13 73]	[13 75]
[13 73]	[20 76]
[13 80]	[20 75]
[13 78]	[20 75]
[13 76]	[20 80]
[13 75]	[20 80]
[13 76]	[13 78]
[13 75]	[13 76]
[13 76]	[13 75]
[13 75]	[ 8 73]
[13 73]	[ 8 75]
[13 73]	[ 8 73]
[13 73]	[13 72]
[13 73]	[13 73]
[13 73]	[13 73]
[13 73]	[13 73]
[13 73]	[ 5 75]
[13 75]	[ 5 75]
[13 76]	[ 5 75]
[13 78]	[ 5 76]
[13 80]	[ 5 78]
[13 80]	[12 76]
[13 85]	[12 78]
[13 85]	[12 78]
[13 85]	[12 83]
[13 80]	[12 83]
[13 78]	[13 84]
[13 76]	[13 85]
[13 75]	[13 80]
[13 76]	[13 78]
[13 75]	[13 76]
[13 73]	[13 75]
[13 80]	[ 8 73]
[13 78]	[ 8 72]
[13 76]	[ 8 80]
[13 75]	[ 8 80]
[13 73]	[13 80]
[13 73]	[13 73]
[13 73]	[13 72]
[13 73]	[ 8 73]
[13 73]	[ 8 75]
[13 73]	[ 8 73]
[13 75]	[13 75]
[13 76]	[13 76]
[13 78]	[13 76]
[13 80]	[13 78]
[13 80]	[18 80]
[13 78]	[18 80]
[13 76]	[13 81]
[13 75]	[13 80]
[13 76]	[13 78]
[13 75]	[ 8 76]
[13 73]	[ 8 75]
[13 73]	[ 8 73]
[13 73]	[13 72]
[-1 -1]	[13 73]
[13 78]	[13 73]
[13 76]	[13 85]
[13 75]	[13 80]
[13 73]	[13 78]
[13 73]	[ 8 76]
[13 73]	[ 8 76]
[13 75]	[ 8 75]
[13 76]	[ 8 75]
[13 78]	[ 8 76]
[13 76]	[ 8 78]
[13 75]	[ 8 80]
[13 73]	[ 8 78]
[13 73]	[ 8 76]
[13 73]	[13 75]
[13 75]	[13 75]
[13 76]	[13 73]
[13 78]	[13 73]
[13 80]	[13 76]
[13 78]	[13 80]
[13 76]	[13 85]
[13 75]	[13 80]
[13 73]	[13 78]
[13 73]	[ 8 76]
[13 73]	[ 8 76]
[13 75]	[ 8 75]
[13 76]	[ 8 75]
[13 78]	[ 8 76]
[13 76]	[ 8 78]
[13 75]	[ 8 80]
[13 76]	[ 8 78]
[13 75]	[ 8 76]
[13 73]	[13 75]
[13 73]	[13 73]
[13 75]	[13  0]
[13 76]	[ 3 80]
[13 75]	[ 3 73]
[13 76]	[ 3 75]
[13 78]	[ 3 76]
[13 80]	[ 3 78]
[13 85]	[ 3 80]
[13 85]	[ 8 85]
[13 85]	[ 8 85]
[13 85]	[ 8 84]
[13 85]	[ 8 83]
[13 85]	[ 8 85]
[13 83]	[ 8 87]
[13 85]	[ 8 80]
[13 87]	[ 8 82]
[13 88]	[ 8 84]
[13 87]	[ 8 85]
[13 88]	[ 8 87]
[13 87]	[13 88]
[13 85]	[13 87]
[13 85]	[13 85]
[13 80]	[13 85]
[13 73]	[13 84]
[13 73]	[13 85]
[13 75]	[13 73]
[13 76]	[13 75]
[13 78]	[13 76]
[13 80]	[13 78]
[13 85]	[13 80]
[13 85]	[ 8 85]
[13 85]	[ 8 85]
[13 85]	[ 8 84]
[13 85]	[ 8 83]
[13 80]	[ 8 85]
[13 78]	[ 8 87]
[13 80]	[ 8 80]
[13 85]	[ 8 80]
[13 80]	[ 8 82]
[13 73]	[13 84]
[13 73]	[13 85]
[13 73]	[5 0]
[13 75]	[ 5 73]
[13 76]	[ 5 72]
[13 75]	[ 5 73]
[13 76]	[ 1 75]
[13 75]	[ 1 76]
[13 76]	[ 1 75]
[13 76]	[ 1 76]
[13 78]	[18 77]
[13 80]	[18 78]
[13 78]	[18 77]
[13 80]	[18 78]
[13 78]	[18 80]
[13 80]	[18 81]
[13 80]	[18 80]
[13 80]	[18 78]
[13 73]	[ 8 81]
[13 73]	[ 8 80]
[13 76]	[ 8 68]
[13 78]	[ 8 72]
[13 76]	[ 8 75]
[13 75]	[ 8 80]
[13 76]	[ 8 78]
[13 75]	[ 8 76]
[13 73]	[ 8 75]
[13 75]	[13 73]
[13 76]	[13 72]
[13 75]	[13 73]
[13 76]	[13 75]
[13 75]	[13 76]
[13 73]	[13 75]
[13 73]	[13 73]
[13 73]	[13 68]
[13 73]	[13 73]
[13 73]	[13 80]
[13 75]	[13 73]
[13 76]	[13 73]
[13 78]	[ 6 76]
[13 76]	[ 6 80]
[13 75]	[ 6 80]
[13 73]	[ 6 76]
[13 75]	[ 6 73]
[13 76]	[ 6 73]
[13 78]	[ 6 76]
[13 76]	[ 6 80]
[13 75]	[ 6 80]
[13 73]	[ 6 76]
[13 75]	[ 6 73]
[13 76]	[ 6 73]
[13 78]	[ 6 76]
[13 80]	[ 6 80]
[13 78]	[ 6 80]
[13 80]	[ 6 81]
[13 78]	[ 8 80]
[13 76]	[ 8 78]
[13 75]	[ 8 80]
[13 73]	[ 8 78]
[13 73]	[ 8 76]
[13 75]	[ 8 75]
[13 76]	[ 8 75]
[13 76]	[ 8 76]
[13 75]	[ 8 78]
[13 73]	[ 8 78]
[13 73]	[ 8 76]
[13 75]	[ 8 75]
[13 76]	[ 8 75]
[13 76]	[ 8 76]
[13 75]	[ 8 78]
[13 73]	[ 8 78]
[13 73]	[ 8 76]
[13 75]	[ 8 75]
[13 76]	[ 8 75]
[13 76]	[ 8 76]
[13 78]	[ 8 78]
[13 76]	[ 8 78]
[13 75]	[ 8 80]
[13 76]	[13 78]
[13 75]	[13 76]
[13 76]	[13 78]
[13 75]	[13 76]
[13 73]	[13 75]
[13 75]	[13 73]
[13 76]	[13 73]
[13 78]	[13 76]
[13 76]	[13 76]
[13 75]	[13 80]
[13 73]	[13 80]
[13 73]	[13 76]
[13 75]	[13 73]
[13 76]	[13 73]
[13 78]	[13 76]
[13 76]	[13 80]
[13 75]	[13 80]
[13 73]	[13 76]
[13 75]	[13 73]
[13 76]	[13 73]
[13 78]	[13 76]
[13 80]	[13 80]
