Accuracy: 0.3488286342626124

n_chords: 1
n_melody: 1
t_prior: 15.0
e_prior: 22.5
dataset: All
keys: minor
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[13 85]	[ 1 80]
[13 80]	[ 1 85]
[13 85]	[18 83]
[13 80]	[18 81]
[13 78]	[18 83]
[13 80]	[18 81]
[13 78]	[18 80]
[13 80]	[18 78]
[13 80]	[18 80]
[13 78]	[18 81]
[13 76]	[18 81]
[13 75]	[18 80]
[13 76]	[13 78]
[13 75]	[13 76]
[13 76]	[13 78]
[13 75]	[13 76]
[13 73]	[13 75]
[13 75]	[13 73]
[13 76]	[13 73]
[13 75]	[ 8 76]
[13 76]	[ 8 75]
[13 75]	[ 8 76]
[13 73]	[ 8 75]
[13 73]	[ 8 73]
[13 73]	[ 8 72]
[-1 -1]	[13 75]
[13 80]	[-1 73]
[13 78]	[-1 73]
[13 76]	[-1 85]
[13 76]	[-1 80]
[13 75]	[-1 78]
[13 73]	[-1 78]
[13 73]	[-1 76]
[13 80]	[-1 75]
[13 78]	[-1 73]
[13 80]	[-1 85]
[13 80]	[-1 80]
[13 78]	[-1 78]
[13 80]	[-1 78]
[13 85]	[-1 76]
[13 87]	[ 5 73]
[13 88]	[ 5 83]
[13 87]	[ 5 85]
[13 85]	[ 5 86]
[13 87]	[ 5 85]
[13 88]	[ 5 83]
[13 87]	[ 5 85]
[13 85]	[ 5 86]
[13 80]	[ 5 85]
[13 78]	[ 5 83]
[13 76]	[ 5 81]
[13 75]	[ 5 80]
[13 76]	[ 8 78]
[13 76]	[ 8 76]
[13 75]	[ 8 78]
[13 76]	[ 8 80]
[13 75]	[ 8 76]
[13 73]	[ 8 78]
[13 73]	[ 8 76]
[13 80]	[13 75]
[13 85]	[13 73]
[13 85]	[13 85]
[13 85]	[13 85]
[13 85]	[13 80]
[13 85]	[13 85]
[13 85]	[13 85]
[13 85]	[13 80]
[13 85]	[13 85]
[13 85]	[13 80]
[13 85]	[13 85]
[13 85]	[13 80]
[13 87]	[13 85]
[13 88]	[13 80]
[13 87]	[13 85]
[13 88]	[13 88]
[13 87]	[13 88]
[13 88]	[13 87]
[13 87]	[13 85]
[13 88]	[13 88]
[13 87]	[13 88]
[13 88]	[13 87]
[13 88]	[13 85]
[13 87]	[13 92]
[13 88]	[13 90]
[13 87]	[13 88]
[13 88]	[13 87]
[13 87]	[13 88]
[13 88]	[13 90]
[13 87]	[13 88]
[13 88]	[13 87]
[13 87]	[13 85]
[13 88]	[13 88]
[13 87]	[13 88]
[13 85]	[13 87]
[13 87]	[18 85]
[13 88]	[18 84]
[13 87]	[18 85]
[13 85]	[18 87]
[13 80]	[18 85]
[13 78]	[18 83]
[13 80]	[ 8 81]
[13 78]	[ 8 80]
[13 80]	[ 8 79]
[13 78]	[ 8 80]
[13 76]	[ 8 81]
[13 75]	[ 8 80]
[13 76]	[ 8 78]
[13 75]	[ 8 76]
[13 76]	[13 75]
[13 75]	[13 73]
[13 76]	[13 75]
[13 78]	[13 76]
[13 80]	[13 78]
[13 85]	[13 80]
[13 80]	[13 81]
[13 78]	[13 84]
[13 80]	[13 73]
[13 78]	[13 76]
[13 80]	[13 78]
[13 78]	[13 80]
[13 80]	[13 76]
[13 78]	[10 76]
[13 80]	[10 81]
[13 85]	[10 80]
[13 85]	[10 81]
[13 85]	[ 5 85]
[13 85]	[ 5 85]
[13 87]	[ 5 83]
[13 88]	[ 5 83]
[13 87]	[ 5 85]
[13 85]	[ 5 86]
[13 87]	[ 5 85]
[13 88]	[ 5 83]
[13 87]	[ 5 85]
[13 85]	[ 5 86]
[13 80]	[ 5 85]
[13 78]	[ 5 83]
[13 80]	[ 5 81]
[13 78]	[ 5 80]
[13 80]	[ 5 78]
[13 80]	[ 8 76]
[13 80]	[ 8 76]
[13 78]	[ 8 78]
[13 76]	[ 8 80]
[13 75]	[ 8 76]
[13 76]	[ 8 78]
[13 75]	[ 8 76]
[13 76]	[13 75]
[13 75]	[13 73]
[13 76]	[13 75]
[13 78]	[13 76]
[13 80]	[13 78]
[13 80]	[13 80]
[13 80]	[13 81]
[13 85]	[13 85]
[13 85]	[13 73]
[13 85]	[13 85]
[13 83]	[13 85]
[13 85]	[13 83]
[13 85]	[13 82]
[13 85]	[13 83]
[13 85]	[13 85]
[13 85]	[13 80]
[13 85]	[13 85]
[13 85]	[13 80]
[13 87]	[13 85]
[13 88]	[13 80]
[13 87]	[13 88]
[13 85]	[13 87]
[13 85]	[13 85]
[13 85]	[13 85]
[13 85]	[5 0]
[13 85]	[ 5 83]
[13 85]	[ 5 85]
[13 85]	[ 5 85]
[13 85]	[ 5 83]
[13 85]	[ 5 83]
[13 85]	[ 5 85]
[13 87]	[ 5 85]
[13 88]	[ 5 83]
[13 87]	[ 5 88]
[13 85]	[ 5 87]
[13 80]	[ 5 85]
[13 78]	[ 5 83]
[13 76]	[ 5 81]
[13 75]	[ 5 80]
[13 76]	[ 5 78]
[13 76]	[ 8 76]
[13 76]	[ 8 76]
[13 75]	[ 8 78]
[13 73]	[ 8 78]
[13 73]	[ 8 76]
[13 73]	[ 8 76]
[13 73]	[ 8 75]
[13 73]	[ 8 75]
[13 85]	[13 73]
[13 85]	[13 73]
[13 87]	[13 90]
[13 88]	[13 85]
[13 88]	[13 85]
[13 87]	[13 90]
[13 88]	[13 90]
[13 88]	[13 88]
[13 87]	[13 88]
[13 85]	[ 5 87]
[13 85]	[ 5 88]
[13 85]	[ 5 83]
[13 87]	[ 5 83]
[13 85]	[ 5 88]
[13 85]	[ 5 88]
[13 85]	[ 5 87]
[13 87]	[ 5 87]
[13 88]	[12 85]
[13 87]	[12 85]
[13 88]	[12 87]
[13 87]	[12 88]
[13 88]	[12 90]
[13 87]	[12 88]
[13 88]	[12 87]
[13 87]	[12 85]
[13 88]	[ 5 87]
[13 85]	[18 88]
[13 87]	[18 90]
[13 88]	[18 85]
[13 88]	[18 85]
[13 87]	[18 90]
[13 88]	[18 90]
[13 88]	[18 88]
[13 87]	[18 88]
[13 85]	[ 5 87]
[13 85]	[ 5 88]
[13 85]	[ 5 83]
[13 87]	[ 5 83]
[13 85]	[ 5 88]
[13 85]	[ 5 88]
[13 85]	[ 5 87]
[13 87]	[ 5 87]
[13 88]	[ 8 85]
[13 87]	[ 8 85]
[13 88]	[ 8 87]
[13 87]	[ 8 88]
[13 88]	[ 8 90]
[13 88]	[ 8 88]
[13 87]	[ 8 87]
[13 85]	[ 8 87]
[13 85]	[13 85]
[13 80]	[13 85]
[13 78]	[13 85]
[13 80]	[13 85]
[13 78]	[13 80]
[13 80]	[13 79]
[13 80]	[13 80]
[13 78]	[13 85]
[13 80]	[13 85]
[13 78]	[13 80]
[13 80]	[13 79]
[13 78]	[13 80]
[13 80]	[13 85]
[13 78]	[13 80]
[13 80]	[13 79]
[13 78]	[13 80]
[13 80]	[13 85]
[13 78]	[13 80]
[13 80]	[13 79]
[13 78]	[13 80]
[13 80]	[13 85]
[13 78]	[13 80]
[13 80]	[13 79]
[13 85]	[13 80]
[13 87]	[ 5 85]
[13 88]	[ 5 83]
[13 87]	[ 5 85]
[13 85]	[ 5 86]
[13 80]	[ 5 85]
[13 78]	[ 5 83]
[13 80]	[ 5 81]
[13 80]	[ 5 80]
[13 85]	[18 78]
[13 80]	[18 78]
[13 85]	[18 83]
[13 80]	[18 78]
[13 78]	[18 83]
[13 80]	[ 6 78]
[13 80]	[ 6 76]
[13 78]	[ 6 78]
[13 76]	[ 6 80]
[13 75]	[12 76]
[13 76]	[12 78]
[13 78]	[12 76]
[13 80]	[ 5 75]
[13 85]	[ 5 76]
[13 85]	[ 5 88]
[13 87]	[5 0]
[13 88]	[ 5 83]
[13 87]	[ 5 85]
[13 85]	[ 5 86]
[13 80]	[ 5 85]
[13 78]	[ 5 83]
[13 80]	[ 5 81]
[13 80]	[ 5 80]
[13 85]	[18 78]
[13 80]	[18 78]
[13 85]	[18 83]
[13 80]	[18 78]
[13 78]	[18 83]
[13 76]	[ 8 78]
[13 76]	[ 8 80]
[13 75]	[ 8 78]
[13 73]	[ 8 78]
[13 73]	[ 8 76]
[13 73]	[ 8 76]
[13 73]	[ 8 75]
[-1 -1]	[ 8 75]
[13 87]	[13 73]
[13 88]	[13 85]
[13 87]	[13 85]
[13 85]	[13 87]
[13 85]	[13 85]
[13 85]	[13 83]
[13 80]	[13 80]
[13 80]	[13 85]
[13 78]	[12 81]
[13 76]	[12 83]
[13 75]	[12 80]
[13 73]	[13 78]
[13 73]	[13 76]
[13 73]	[13 73]
[13 73]	[13 75]
[13 73]	[13 73]
[13 68]	[10 71]
[13 73]	[10 68]
[13 73]	[10 69]
[13 73]	[12 71]
[13 76]	[12 73]
[13 78]	[12 75]
[13 80]	[13 78]
[13 85]	[13 80]
[13 85]	[13 85]
[13 85]	[13 87]
[13 85]	[13 85]
[13 85]	[13 83]
[13 80]	[13 80]
[13 80]	[13 85]
[13 78]	[12 81]
[13 76]	[12 83]
[13 75]	[12 80]
[13 73]	[13 78]
[13 73]	[13 76]
[13 73]	[12 73]
[13 73]	[12 75]
[13 73]	[12 73]
[13 68]	[20 71]
[13 73]	[20 68]
[13 76]	[20 69]
[13 78]	[13 71]
[13 80]	[13 73]
[13 78]	[13 80]
[13 76]	[13 81]
[13 73]	[13 80]
[13 73]	[13 78]
[13 73]	[13 75]
[13 73]	[13 73]
[13 73]	[13 80]
[13 76]	[13  0]
[13 73]	[13 80]
[13 73]	[13 78]
[13 73]	[13 75]
[13 73]	[12 73]
[13 73]	[12 71]
[13 76]	[12 73]
[13 73]	[12 75]
[13 73]	[12 78]
[13 73]	[12 75]
[13 73]	[12 73]
[13 73]	[12 71]
[13 76]	[12 73]
[13 78]	[12 75]
[13 80]	[13 78]
[13 78]	[13 80]
[13 76]	[13 81]
[13 73]	[13 80]
[13 73]	[13 78]
[13 73]	[13 75]
[13 73]	[13 73]
[13 73]	[13 80]
[13 76]	[13  0]
[13 73]	[13 80]
[13 73]	[13 78]
[13 73]	[13 75]
[13 73]	[12 73]
[13 73]	[12 71]
[13 76]	[12 73]
[13 73]	[12 75]
[13 73]	[12 78]
[13 73]	[12 75]
[13 73]	[20 71]
[13 73]	[20 75]
[13 76]	[20 73]
[13 78]	[13 71]
[13 80]	[13 73]
[13 78]	[13 80]
[13 80]	[13 81]
[13 78]	[13 80]
[13 80]	[13 78]
[13 78]	[13 80]
[13 80]	[13 80]
[13 78]	[13 76]
[13 76]	[13 80]
[13 78]	[13 80]
[13 80]	[13 75]
[13 78]	[13 80]
[13 80]	[20 80]
[13 85]	[20 80]
[13 85]	[20 81]
[13 85]	[20 83]
[13 85]	[20 87]
[13 80]	[20 85]
[13 80]	[20 83]
[13 76]	[20 80]
[13 75]	[20 78]
[-1 -1]	[13 75]
[13 64]	[ 6 73]
[13 66]	[ 6 64]
[13 68]	[ 6 63]
[13 68]	[ 6 64]
[13 68]	[ 6 66]
[13 73]	[ 6 68]
[13 68]	[ 6 69]
[13 68]	[ 6 71]
[13 68]	[ 6 69]
[13 73]	[ 6 68]
[13 73]	[ 5 66]
[13 73]	[ 5 68]
[13 73]	[ 5 68]
[13 73]	[ 5 68]
[13 68]	[ 5 68]
[13 73]	[ 5 68]
[13 73]	[10 64]
[13 73]	[10 73]
[13 73]	[10 73]
[13 68]	[12 71]
[13 68]	[12 71]
[13 68]	[12 69]
[13 68]	[12 68]
[13 68]	[12 66]
[13 73]	[12 68]
[13 68]	[ 6 69]
[13 68]	[ 6 71]
[13 68]	[ 6 69]
[13 73]	[ 6 68]
[13 68]	[ 5 66]
[13 73]	[ 5 71]
[13 73]	[ 5 64]
[13 68]	[ 5 68]
[13 68]	[ 5 71]
[13 68]	[ 5 69]
[13 68]	[ 5 68]
[13 68]	[ 5 69]
[13 68]	[ 5 68]
[13 68]	[ 5 64]
[13 68]	[ 6 68]
[13 61]	[ 6 66]
[13 61]	[ 6 66]
[13 61]	[ 6 63]
[13 61]	[ 6 64]
[13 64]	[ 6 63]
[13 68]	[ 6 64]
[13 68]	[ 6 66]
[13 73]	[ 6 68]
[13 68]	[ 6 69]
[13 68]	[ 6 71]
[13 68]	[ 6 69]
[13 73]	[ 6 68]
[13 73]	[ 5 66]
[13 73]	[ 5 68]
[13 73]	[ 5 68]
[13 73]	[ 5 68]
[13 68]	[ 5 68]
[13 73]	[ 5 68]
[13 73]	[10 64]
[13 73]	[10 73]
[13 73]	[10 73]
[13 68]	[ 6 71]
[13 68]	[ 6 71]
[13 68]	[ 6 69]
[13 68]	[ 6 68]
[13 68]	[ 6 66]
[13 73]	[ 6 68]
[13 68]	[ 6 69]
[13 68]	[ 6 71]
[13 68]	[ 6 69]
[13 73]	[ 6 68]
[13 68]	[ 5 66]
[13 73]	[ 5 71]
[13 73]	[ 5 64]
[13 68]	[ 5 68]
[13 68]	[ 5 71]
[13 68]	[ 5 69]
[13 68]	[ 5 68]
[13 68]	[ 5 69]
[13 68]	[ 5 68]
[13 68]	[ 5 64]
[13 68]	[ 6 68]
[13 68]	[ 6 66]
[13 68]	[ 6 66]
[13 68]	[ 6 68]
[13 68]	[ 6 69]
[13 68]	[ 6 68]
[13 68]	[ 6 66]
[13 73]	[ 6 68]
[13 73]	[ 6 69]
[13 73]	[ 6 71]
[13 68]	[ 5 73]
[13 68]	[ 5 71]
[13 68]	[ 5 69]
[13 68]	[ 6 68]
[13 68]	[ 6 66]
[13 68]	[ 6 68]
[13 68]	[ 6 69]
[13 68]	[ 6 68]
[13 68]	[ 6 66]
[13 73]	[ 6 68]
[13 73]	[ 6 69]
[13 73]	[ 6 71]
[13 73]	[10 73]
[13 73]	[10 73]
[13 68]	[12 73]
[13 68]	[12 68]
[13 68]	[12 69]
[13 68]	[12 68]
[13 68]	[12 66]
[13 73]	[12 68]
[13 73]	[12 69]
[13 73]	[12 71]
[13 68]	[ 6 73]
[13 68]	[ 6 71]
[13 68]	[ 6 69]
[13 68]	[ 6 68]
[13 68]	[ 6 66]
[13 73]	[ 6 68]
[13 73]	[ 6 64]
[13 68]	[ 6 68]
[13 68]	[ 6 71]
[13 68]	[ 6 69]
[13 68]	[ 6 68]
[13 68]	[ 6 69]
[13 68]	[ 6 68]
[13 68]	[ 6 64]
[13 68]	[ 6 68]
[13 80]	[ 6 66]
[13 85]	[ 6 66]
[13 80]	[ 6 85]
[13 85]	[ 6 84]
[13 85]	[ 6 81]
[13 85]	[6 0]
[13 85]	[ 6 85]
[13 85]	[6 0]
[13 85]	[ 6 85]
[13 85]	[6 0]
[13 80]	[ 6 85]
[13 85]	[ 6 83]
[13 85]	[ 6 81]
[13 85]	[ 6 83]
[13 85]	[ 6 85]
[13 80]	[ 6 85]
[13 85]	[ 6 84]
[13 85]	[ 6 81]
[13 85]	[6 0]
[13 87]	[ 6 85]
[13 88]	[6 0]
[13 87]	[ 6 85]
[13 88]	[ 6 86]
[13 87]	[ 6 89]
[13 85]	[ 6 90]
[13 85]	[ 6 85]
[13 80]	[ 6 85]
[13 85]	[ 6 84]
[13 85]	[ 6 81]
[13 85]	[6 0]
[13 85]	[ 6 85]
[13 85]	[6 0]
[13 85]	[ 6 85]
[13 85]	[6 0]
[13 80]	[ 6 85]
[13 85]	[ 6 83]
[13 85]	[ 6 81]
[13 85]	[ 6 83]
[13 88]	[ 6 85]
[13 87]	[5 0]
[13 88]	[ 5 90]
[13 87]	[ 5 89]
[13 85]	[ 5 86]
[13 80]	[ 5 85]
[13 78]	[ 5 83]
[13 80]	[ 5 81]
[13 85]	[ 5 80]
[13 85]	[ 5 81]
[13 80]	[ 5 83]
[13 85]	[ 6 85]
[13 85]	[ 6 78]
[13 85]	[6 0]
[13 80]	[ 6 85]
[13 85]	[ 6 84]
[13 85]	[ 6 81]
[13 85]	[6 0]
[13 85]	[ 6 85]
[13 85]	[6 0]
[13 85]	[ 6 85]
[13 85]	[6 0]
[13 80]	[ 6 85]
[13 85]	[ 6 83]
[13 85]	[ 6 81]
[13 85]	[ 6 83]
[13 85]	[ 6 85]
[13 87]	[6 0]
[13 88]	[6 0]
[13 87]	[ 6 88]
[13 85]	[ 6 87]
[13 80]	[ 6 85]
[13 78]	[ 6 84]
[13 80]	[ 6 81]
[13 85]	[ 6 80]
[13 87]	[ 6 78]
[13 88]	[6 0]
[13 87]	[ 6 85]
[13 88]	[ 6 86]
[13 87]	[ 6 89]
[13 85]	[ 6 90]
[13 85]	[ 6 85]
[13 80]	[ 6 85]
[13 85]	[ 6 84]
[13 85]	[ 6 81]
[13 85]	[6 0]
[13 85]	[ 6 85]
[13 85]	[6 0]
[13 85]	[ 6 85]
[13 85]	[6 0]
[13 80]	[ 6 85]
[13 85]	[ 6 83]
[13 85]	[ 6 81]
[13 85]	[ 6 83]
[13 87]	[ 6 85]
[13 88]	[6 0]
[13 87]	[ 6 88]
[13 85]	[ 6 87]
[13 80]	[ 6 85]
[13 78]	[ 6 84]
[13 80]	[ 6 81]
[13 85]	[ 6 80]
[13 85]	[ 6 78]
[13 87]	[6 0]
[13 85]	[ 6 85]
[13 85]	[ 6 88]
[13 85]	[ 6 85]
[-1 -1]	[ 6 83]
[13 61]	[-1 85]
[13 61]	[-1 61]
[13 68]	[-1 61]
[13 73]	[13 61]
[13 73]	[13 68]
[13 75]	[13 68]
[13 76]	[ 8 68]
[13 75]	[ 8 76]
[13 73]	[13 75]
[13 68]	[13 73]
[13 73]	[13 68]
[13 68]	[18 69]
[13 68]	[18 71]
[13 68]	[12 69]
[13 68]	[12 66]
[13 73]	[12 66]
[13 73]	[12 69]
[13 73]	[12 73]
[13 73]	[ 8 73]
[13 73]	[ 8 68]
[13 73]	[13 68]
[13 73]	[13 73]
[13 73]	[ 8 73]
[13 73]	[ 8 72]
[13 73]	[10 75]
[13 73]	[10 73]
[13 68]	[13 73]
[13 68]	[13 68]
[13 73]	[13 64]
[13 73]	[13 66]
[13 68]	[13 68]
[13 68]	[18 68]
[13 68]	[18 66]
[13 73]	[18 64]
[13 73]	[ 8 66]
[-1 -1]	[ 8 68]
[13 78]	[-1 68]
[13 80]	[13 80]
[13 85]	[13 80]
[13 85]	[13 85]
[13 85]	[ 8 84]
[13 85]	[ 8 80]
[13 88]	[ 8 83]
[13 88]	[ 8 87]
[13 87]	[ 8 90]
[13 88]	[13 87]
[13 87]	[13 88]
[13 88]	[13 88]
[13 88]	[13 88]
[13 88]	[13 92]
[13 88]	[ 8 90]
[13 87]	[ 8 87]
[13 88]	[13 90]
[13 88]	[ 8 88]
[13 88]	[ 8 87]
[13 90]	[ 8 87]
[13 88]	[ 8 87]
[13 88]	[ 8 92]
[13 88]	[ 8 90]
[13 87]	[ 8 87]
[13 88]	[13 90]
[13 87]	[13 88]
[13 88]	[13 88]
[13 88]	[ 8 85]
[13 88]	[ 8 87]
[13 90]	[ 8 87]
[13 88]	[ 8 87]
[13 88]	[ 8 92]
[13 88]	[ 8 90]
[13 87]	[ 8 87]
[13 88]	[13 90]
[13 87]	[13 88]
[13 88]	[13 88]
[13 88]	[ 8 85]
[13 87]	[ 8 87]
[13 88]	[13 87]
[13 90]	[13 88]
[13 88]	[13 88]
[13 88]	[13 92]
[13 88]	[ 8 90]
[13 88]	[ 8 87]
[-1 -1]	[ 8 90]
[ 8 76]	[-1 87]
[13 75]	[-1 73]
[13 76]	[13 75]
[13 75]	[13 76]
[13 76]	[13 75]
[13 75]	[13 76]
[13 73]	[13 75]
[13 75]	[13 73]
[13 76]	[13 68]
[13 75]	[13 73]
[13 76]	[10 75]
[13 75]	[10 76]
[13 76]	[10 75]
[13 75]	[10 76]
[13 73]	[10 75]
[13 73]	[10 73]
[13 75]	[10 69]
[13 73]	[10 73]
[13 73]	[12 76]
[13 68]	[12 75]
[13 73]	[12 71]
[13 73]	[12 66]
[13 68]	[12 71]
[13 73]	[12 68]
[13 73]	[12 66]
[13 68]	[12 68]
[13 73]	[12 71]
[13 73]	[12 66]
[13 73]	[12 68]
[13 73]	[12 71]
[13 73]	[12 73]
[13 73]	[12 75]
[13 73]	[12 73]
[13 75]	[12 71]
[13 76]	[13 75]
[13 75]	[13 76]
[13 76]	[13 75]
[13 75]	[13 76]
[13 73]	[13 75]
[13 75]	[13 73]
[13 76]	[13 68]
[13 75]	[13 73]
[13 76]	[10 75]
[13 75]	[10 76]
[13 76]	[10 75]
[13 75]	[10 76]
[13 73]	[10 75]
[13 73]	[10 73]
[13 75]	[10 69]
[13 76]	[10 73]
[13 73]	[12 76]
[13 68]	[12 78]
[13 73]	[12 75]
[13 73]	[12 66]
[13 68]	[12 75]
[13 73]	[12 68]
[13 73]	[12 66]
[13 68]	[12 68]
[13 61]	[12 71]
[13 61]	[12 66]
[13 61]	[12 64]
[13 61]	[12 63]
[13 61]	[13 64]
[13 61]	[13 61]
[13 61]	[13 59]
[13 61]	[13 63]
[13 68]	[13 64]
[13 68]	[13 61]
[13 68]	[13 68]
[13 73]	[13 61]
[13 73]	[13 69]
[13 73]	[13 61]
[13 73]	[13 68]
